iter	Passed	Remaining
729	37283	13789
730	37361	13748
731	37419	13700
732	37467	13647
733	37499	13589
734	37529	13530
735	37567	13475
736	37594	13415
737	37639	13362
738	37679	13307
739	37716	13251
740	37755	13196
741	37782	13137
742	37816	13080
743	37841	13020
744	37865	12960
745	37951	12921
746	38009	12873
747	38111	12839
748	38150	12784
749	38191	12730
750	38237	12678
751	38261	12618
752	38296	12561
753	38320	12502
754	38344	12442
755	38383	12388
756	38409	12329
757	38446	12274
758	38485	12219
759	38514	12162
760	38553	12107
761	38591	12053
762	38628	11998
763	38654	11940
764	38689	11885
765	38716	11827
766	38742	11769
767	38770	11712
768	38797	11654
769	38829	11598
770	38862	11542
771	38896	11487
772	38923	11430
773	38962	11376
774	38985	11318
775	39009	11260
776	39043	11205
777	39078	11151
778	39103	11093
779	39138	11038
780	39162	10981
781	39187	10924
782	39218	10868
783	39246	10812
784	39285	10759
785	39317	10704
786	39348	10649
787	39376	10593
788	39410	10539
789	39435	10482
790	39462	10426
791	39494	10372
792	39517	10315
793	39544	10259
794	39579	10206
795	39603	10149
796	39628	10093
797	39658	10038
798	39683	9983
799	39707	9926
800	39748	9874
801	39772	9819
802	39808	9766
803	39837	9711
804	39893	9663
805	39961	9618
806	40018	9570
807	40072	9522
808	40119	9471
809	40145	9416
810	40184	9364
811	40225	9313
812	40251	9258
813	40286	9205
814	40314	9151
815	40356	9100
816	40416	9052
817	40459	9001
818	40501	8950
819	40540	8899
820	40599	8851
821	40669	8806
822	40706	8754
823	40731	8699
824	40770	8648
825	40796	8593
826	40835	8542
827	40868	8489
828	40896	8435
829	40920	8381
830	40955	8329
831	40980	8274
832	41016	8223
833	41060	8172
834	41105	8122
835	41147	8072
836	41188	8021
837	41225	7969
838	41253	7916
839	41290	7864
840	41331	7814
841	41356	7760
842	41389	7708
843	41416	7655
844	41450	7603
845	41504	7555
846	41540	7503
847	41578	7452
848	41604	7399
849	41645	7349
850	41685	7298
851	41730	7248
852	41755	7195
853	41789	7144
854	41816	7091
855	41851	7040
856	41879	6988
857	41916	6937
858	41950	6885
859	41976	6833
860	42004	6781
861	42039	6730
862	42089	6681
863	42145	6633
864	42205	6587
865	42233	6534
866	42268	6484
867	42294	6431
868	42320	6379
869	42358	6329
870	42385	6277
871	42417	6226
872	42448	6175
873	42482	6124
874	42524	6074
875	42564	6025
876	42609	5975
877	42669	5928
878	42705	5878
879	42750	5829
880	42832	5785
881	42896	5738
882	42936	5689
883	42975	5639
884	43026	5591
885	43083	5543
886	43129	5494
887	43165	5444
888	43205	5394
889	43273	5348
890	43313	5298
891	43355	5249
892	43394	5199
893	43419	5148
894	43444	5096
895	43478	5046
896	43504	4995
897	43538	4945
898	43564	4894
899	43608	4845
900	43648	4796
901	43694	4747
902	43733	4697
903	43770	4648
904	43798	4597
905	43836	4548
906	43861	4497
907	43893	4447
908	43934	4398
909	43981	4349
910	44023	4300
911	44071	4252
912	44147	4206
913	44175	4156
914	44211	4107
915	44269	4059
916	44300	4009
917	44350	3961
918	44397	3913
919	44442	3864
920	44484	3815
921	44540	3768
922	44583	3719
923	44625	3670
924	44655	3620
925	44690	3571
926	44724	3521
927	44770	3473
928	44818	3425
929	44877	3377
930	44914	3328
931	44948	3279
932	44977	3229
933	45019	3181
934	45061	3132
935	45095	3083
936	45123	3033
937	45151	2984
938	45209	2936
939	45256	2888
940	45337	2842
941	45398	2795
942	45437	2746
943	45479	2697
944	45528	2649
945	45580	2601
946	45629	2553
947	45666	2504
948	45711	2456
949	45768	2408
950	45799	2359
951	45837	2311
952	45871	2262
953	45899	2213
954	45923	2163
955	45958	2115
956	45982	2066
957	46036	2018
958	46070	1969
959	46107	1921
960	46131	1872
961	46169	1823
962	46212	1775
963	46251	1727
964	46293	1679
965	46320	1630
966	46360	1582
967	46397	1533
968	46437	1485
969	46480	1437
970	46550	1390
971	46578	1341
972	46616	1293
973	46645	1245
974	46724	1198
975	46764	1149
976	46806	1101
977	46831	1053
978	46867	1005
979	46895	957
980	46935	909
981	46975	861
982	47031	813
983	47076	765
984	47118	717
985	47154	669
986	47201	621
987	47288	574
988	47346	526
989	47375	478
990	47431	430
991	47475	382
992	47516	334
993	47539	286
994	47570	239
995	47596	191
996	47638	143
997	47663	95
998	47700	47
999	47728	0
